grid_label	checkpoint_kind	workspace_tar	vg2_sha256	phs_sha256	grid_construction_seed
S0	G1	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase11_diagnostics/b0_adaptation_failure_v1/candidate_A_stress_v1/20260812T185627Z_G1_G2_3seed_np1/G1_S0/integration_artifacts.tar.gz	61ba49626a21259e8e1bfc78f1018cf9712853c0254f2cbb3449bd0da05c174f	20733e0e17025d2c73f73a666c5b62f92c105ca98114231020130b77f5730d5d	1740114216
S1	G1	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase11_diagnostics/b0_adaptation_failure_v1/candidate_A_stress_v1/20260812T185627Z_G1_G2_3seed_np1/G1_S1/integration_artifacts.tar.gz	1376ac7e6de8141e0dbc4d31217db902adcec19130b19852d8b5278fdd263704	20733e0e17025d2c73f73a666c5b62f92c105ca98114231020130b77f5730d5d	1751949026
S2	G1	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase11_diagnostics/b0_adaptation_failure_v1/candidate_A_stress_v1/20260812T185627Z_G1_G2_3seed_np1/G1_S2/integration_artifacts.tar.gz	2ec66a0ce3bf467c64212e17ee0bc630b479e57aae06cfd2797d21ded783a60e	20733e0e17025d2c73f73a666c5b62f92c105ca98114231020130b77f5730d5d	1885084773
