variant,events,max_plus_dR_from_LHE,max_minus_dR_from_LHE,max_plus_p4max_from_LHE_GeV,max_minus_p4max_from_LHE_GeV,plus_top_ancestor_fraction,minus_top_ancestor_fraction,plus_W_ancestor_fraction,minus_W_ancestor_fraction
G0_H0,25000,3.556273613028235,3.8384717354882154,91.92802173733436,88.75380663685074,0.96084,0.9616,0.95212,0.95048
G1_H0,25000,3.350491460353415,3.407353628196247,89.44957726558471,103.21719386251125,0.96084,0.9616,0.95212,0.95048
G0_H1,25000,3.2837841016177185,4.087637712967019,99.27544924083844,97.31073662959972,0.96084,0.9616,0.95212,0.95048
G1_H1,25000,3.296765227923524,3.9359886614859168,86.36888531061166,81.19298854385777,0.96084,0.9616,0.95212,0.95048
