variant,representation,observable,mean,standard_error,effective_events
G0_H0,hard,lepton_plus_pt_GeV,38.382050791712516,0.12145186883398355,25000.000000000062
G0_H0,hard,lepton_minus_pt_GeV,38.592359440857976,0.12215350698773246,25000.000000000062
G0_H0,hard,delta_phi_ll_lab,1.6006557783595543,0.005756202495581444,25000.000000000062
G0_H0,hard,delta_phi_ll_tt,1.6006889675062241,0.00575556495579369,25000.000000000062
G0_H0,hard,cos_opening_ll_tt,-0.1181304750713627,0.003620513435357044,25000.000000000062
G0_H0,hard,opening_ll_tt,1.7111033968920712,0.004297165093451955,25000.000000000062
G0_H0,hard,cp_triple_product,-0.0018912409491663742,0.0029986762184592503,25000.000000000062
G1_H0,hard,lepton_plus_pt_GeV,38.382050791712516,0.12145186883398355,25000.000000000062
G1_H0,hard,lepton_minus_pt_GeV,38.592359440857976,0.12215350698773246,25000.000000000062
G1_H0,hard,delta_phi_ll_lab,1.6006557783595543,0.005756202495581444,25000.000000000062
G1_H0,hard,delta_phi_ll_tt,1.6006889675062241,0.00575556495579369,25000.000000000062
G1_H0,hard,cos_opening_ll_tt,-0.1181304750713627,0.003620513435357044,25000.000000000062
G1_H0,hard,opening_ll_tt,1.7111033968920712,0.004297165093451955,25000.000000000062
G1_H0,hard,cp_triple_product,-0.0018912409491663742,0.0029986762184592503,25000.000000000062
G0_H1,hard,lepton_plus_pt_GeV,38.382050791712516,0.12145186883398355,25000.000000000062
G0_H1,hard,lepton_minus_pt_GeV,38.592359440857976,0.12215350698773246,25000.000000000062
G0_H1,hard,delta_phi_ll_lab,1.6006557783595543,0.005756202495581444,25000.000000000062
G0_H1,hard,delta_phi_ll_tt,1.6006889675062241,0.00575556495579369,25000.000000000062
G0_H1,hard,cos_opening_ll_tt,-0.1181304750713627,0.003620513435357044,25000.000000000062
G0_H1,hard,opening_ll_tt,1.7111033968920712,0.004297165093451955,25000.000000000062
G0_H1,hard,cp_triple_product,-0.0018912409491663742,0.0029986762184592503,25000.000000000062
G1_H1,hard,lepton_plus_pt_GeV,38.382050791712516,0.12145186883398355,25000.000000000062
G1_H1,hard,lepton_minus_pt_GeV,38.592359440857976,0.12215350698773246,25000.000000000062
G1_H1,hard,delta_phi_ll_lab,1.6006557783595543,0.005756202495581444,25000.000000000062
G1_H1,hard,delta_phi_ll_tt,1.6006889675062241,0.00575556495579369,25000.000000000062
G1_H1,hard,cos_opening_ll_tt,-0.1181304750713627,0.003620513435357044,25000.000000000062
G1_H1,hard,opening_ll_tt,1.7111033968920712,0.004297165093451955,25000.000000000062
G1_H1,hard,cp_triple_product,-0.0018912409491663742,0.0029986762184592503,25000.000000000062
G0_H0,bare,lepton_plus_pt_GeV,36.71500217731681,0.11956935093884216,25000.000000000062
G0_H0,bare,lepton_minus_pt_GeV,37.45676248033778,0.11991119550726664,25000.000000000062
G0_H0,bare,delta_phi_ll_lab,1.5999917675547244,0.005758585516705637,25000.000000000062
G0_H0,bare,delta_phi_ll_tt,1.6000153572371034,0.005758079398725673,25000.000000000062
G0_H0,bare,cos_opening_ll_tt,-0.11763539090626902,0.0036178399441943575,25000.000000000062
G0_H0,bare,opening_ll_tt,1.7104579641956414,0.004294440640793482,25000.000000000062
G0_H0,bare,cp_triple_product,-0.0019893629676622235,0.0029978818876451874,25000.000000000062
G1_H0,bare,lepton_plus_pt_GeV,36.654930860076696,0.11958029055803106,25000.000000000062
G1_H0,bare,lepton_minus_pt_GeV,37.463267555594044,0.12021686230378506,25000.000000000062
G1_H0,bare,delta_phi_ll_lab,1.6009450210238645,0.005754565842023414,25000.000000000062
G1_H0,bare,delta_phi_ll_tt,1.6009935758995093,0.005754105441193111,25000.000000000062
G1_H0,bare,cos_opening_ll_tt,-0.11787221579894223,0.0036184267767164877,25000.000000000062
G1_H0,bare,opening_ll_tt,1.7108076888806867,0.004294430680010839,25000.000000000062
G1_H0,bare,cp_triple_product,-0.0021361219387121795,0.002997128887298266,25000.000000000062
G0_H1,bare,lepton_plus_pt_GeV,36.68228671962528,0.11946560741275981,25000.000000000062
G0_H1,bare,lepton_minus_pt_GeV,37.48750939408811,0.12009843147147255,25000.000000000062
G0_H1,bare,delta_phi_ll_lab,1.600924487969406,0.005755195390914814,25000.000000000062
G0_H1,bare,delta_phi_ll_tt,1.6009037695971207,0.0057545757162365515,25000.000000000062
G0_H1,bare,cos_opening_ll_tt,-0.11785877279996038,0.0036219007689095935,25000.000000000062
G0_H1,bare,opening_ll_tt,1.710736435385128,0.004297853811556433,25000.000000000062
G0_H1,bare,cp_triple_product,-0.0018216543548944654,0.0029959694189580976,25000.000000000062
G1_H1,bare,lepton_plus_pt_GeV,36.72055730287856,0.11947269299362817,25000.000000000062
G1_H1,bare,lepton_minus_pt_GeV,37.50216253116106,0.12024335992753103,25000.000000000062
G1_H1,bare,delta_phi_ll_lab,1.600492532043992,0.005754027015046944,25000.000000000062
G1_H1,bare,delta_phi_ll_tt,1.6005401812004216,0.005753498891447845,25000.000000000062
G1_H1,bare,cos_opening_ll_tt,-0.11818104255454545,0.0036181879954359005,25000.000000000062
