comparison,representation,observable,paired_mean_delta,paired_standard_error,paired_z,effective_events
G0_H1-G0_H0,dressed_prompt,delta_phi_ll_tt,0.00091385954455684,0.0008650284723054517,1.0564502485348777,25000.000000000062
G0_H1-G0_H0,dressed_prompt,cos_opening_ll_tt,-0.000244598188298303,0.0004784123651407747,-0.5112706236727996,25000.000000000062
G0_H1-G0_H0,dressed_prompt,opening_ll_tt,0.00030012646825957684,0.0005788470990787271,0.5184900619477021,25000.000000000062
G0_H1-G0_H0,dressed_prompt,cp_triple_product,0.00015811276749690196,0.00037517165169506265,0.4214411370969337,25000.000000000062
G1_H1-G0_H0,dressed_prompt,lepton_plus_pt_GeV,0.011260442413164765,0.02761610872940197,0.40774906137214545,25000.000000000062
G1_H1-G0_H0,dressed_prompt,lepton_minus_pt_GeV,0.045746076046089074,0.02606125374934951,1.755329059993167,25000.000000000062
G1_H1-G0_H0,dressed_prompt,delta_phi_ll_lab,0.0004906758281281187,0.0008965417008825182,0.54729838851346,25000.000000000062
G1_H1-G0_H0,dressed_prompt,delta_phi_ll_tt,0.0005138980255739695,0.0008958447385439859,0.5736463066236306,25000.000000000062
G1_H1-G0_H0,dressed_prompt,cos_opening_ll_tt,-0.0005343845045500493,0.0004743851752972019,-1.1264780865364477,25000.000000000062
G1_H1-G0_H0,dressed_prompt,opening_ll_tt,0.0005614882391058932,0.0005725989947298336,0.9805959218821496,25000.000000000062
G1_H1-G0_H0,dressed_prompt,cp_triple_product,-6.0901694210286395e-06,0.00037018024525539917,-0.016451902820548505,25000.000000000062
