contrast,representation,observable,effect,standard_error,z,effective_events
gamma_main_effect,dressed_prompt,delta_phi_ll_lab,0.00025154503800716425,0.0006222299781889404,0.40426377195664864,25000.000000000062
hadron_qed_main_effect,dressed_prompt,delta_phi_ll_lab,0.00023913079012095905,0.0006317983542968178,0.3784922649681607,25000.000000000062
gamma_x_hadron_interaction,dressed_prompt,delta_phi_ll_lab,-0.00143830832897831,0.0012518554565589001,-1.1489412147724558,25000.000000000062
gamma_main_effect,dressed_prompt,delta_phi_ll_tt,0.00029783406472036705,0.0006221606978634652,0.47870922374741115,25000.000000000062
hadron_qed_main_effect,dressed_prompt,delta_phi_ll_tt,0.00021606396085359963,0.0006320580483281704,0.3418419580687267,25000.000000000062
gamma_x_hadron_interaction,dressed_prompt,delta_phi_ll_tt,-0.0013955911674064713,0.0012518279952260134,-1.1148425923758813,25000.000000000062
gamma_main_effect,dressed_prompt,cos_opening_ll_tt,-0.00026242069498284544,0.0003289860142752035,-0.7976652003307508,25000.000000000062
hadron_qed_main_effect,dressed_prompt,cos_opening_ll_tt,-0.0002719638095672053,0.0003298893256798631,-0.8244092439387659,25000.000000000062
gamma_x_hadron_interaction,dressed_prompt,cos_opening_ll_tt,-5.4731242537804295e-05,0.0006614293078009469,-0.08274692683299623,25000.000000000062
gamma_main_effect,dressed_prompt,opening_ll_tt,0.0003045272403594739,0.0003971741904224171,0.7667347166632152,25000.000000000062
hadron_qed_main_effect,dressed_prompt,opening_ll_tt,0.00025696099874641715,0.00039823726003506603,0.645245999140791,25000.000000000062
gamma_x_hadron_interaction,dressed_prompt,opening_ll_tt,-8.633093902631883e-05,0.0007969463631708005,-0.10832716355318443,25000.000000000062
gamma_main_effect,dressed_prompt,cp_triple_product,-0.0001545010978090941,0.0002658944603084921,-0.5810617401725525,25000.000000000062
hadron_qed_main_effect,dressed_prompt,cp_triple_product,0.000148410928388064,0.00026626336587600043,0.5573839566693504,25000.000000000062
gamma_x_hadron_interaction,dressed_prompt,cp_triple_product,-1.9403678217674554e-05,0.000528669770802062,-0.03670283282555877,25000.000000000062
