file	events	bytes	sha256	path
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0011.hepmc3	25000	570380006	6d3e84f823857b1d8ab1037b57b92f2193fe38476f1d8beeb79d8057c1468ed1	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0011.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0012.hepmc3	25000	572317586	8a46a36e2f2be3563bd0ebdf424cbdb7e68774fe36b2d60a17733a5ac994bbf4	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0012.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0013.hepmc3	25000	571488940	0f69786e31418808aaf4084e612192c5b6081e15199ef7d830632d9bc51c445e	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0013.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0014.hepmc3	25000	570382154	5315525cddeba5b9116b37f5dd7af52393caa99cd5d93da6faa907d902e5f33b	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0014.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0015.hepmc3	25000	569834589	86095ec5195c7e2abe0b8b3c818a1481e3cbd1b265d64fa6280208fb25a1cd71	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0015.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0016.hepmc3	25000	569451286	e2b7c5781ea7cfd9861cf6263b64c38544a27d45b7496ad02b31e4d87837c8ee	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0016.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0017.hepmc3	25000	571517142	97ae476490d125d4935ed659215fc10caa82d92916fdfc7e3f252591bc7fdb8f	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0017.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0018.hepmc3	25000	569817033	e4ceb3598af54f14b8bc7f8f4989dd9477d455ddf9a3b7e74488247f6e35c49a	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0018.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0019.hepmc3	25000	569768643	195e8aaddaa8fb41a7b3c65f673cce246e97908aa7d46d8a98c1f58f753f4b42	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0019.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0020.hepmc3	25000	572832765	dd35735f2d1a152841597db2025770eca056742db1873d7f2a26cd6db0a44592	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0020.hepmc3
