proc	shard_id	input_lhe	input_sha256	start	stop	pythia_seed
14	P12_1M_0015	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0015/phase11c_S0_P12_1M_0015_seed412100015.lhe	fa1593cb18f6f2a2c898f65da31b46ca74f2c78a336abede3ee34d15ffcffac7	350000	375000	812100015
15	P12_1M_0016	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0016/phase11c_S0_P12_1M_0016_seed412100016.lhe	b0df5d3d114e1886603773f3a5d16f601f807a49bf3414d665e6aa8dda84e377	375000	400000	812100016
16	P12_1M_0017	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0017/phase11c_S0_P12_1M_0017_seed412100017.lhe	fa9c97438e6c0f90798ce073450c7bc575166ac66db0849f58d911a23a8971ed	400000	425000	812100017
17	P12_1M_0018	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0018/phase11c_S0_P12_1M_0018_seed412100018.lhe	f1773b799dcbca19e52add19b4d2888e50dfd67ab1251d25a651f0d07160c439	425000	450000	812100018
18	P12_1M_0019	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0019/phase11c_S0_P12_1M_0019_seed412100019.lhe	f2eb7190db1747f3dd108723f62fe6e6ca6cb3a41466d089c0bc671b195119f1	450000	475000	812100019
19	P12_1M_0020	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0020/phase11c_S0_P12_1M_0020_seed412100020.lhe	9e01aa62c71284cdfdd54c09a92d80f6a0528ace5627f01f20caf5d970c317ad	475000	500000	812100020
20	P12_1M_0021	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0021/phase11c_S0_P12_1M_0021_seed412100021.lhe	a6d261f7f3980498d309a648bf23949e3c0fcc62c6725bc79bf908ad02411220	500000	525000	812100021
21	P12_1M_0022	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0022/phase11c_S0_P12_1M_0022_seed412100022.lhe	4034d1a9397563b6a4f450175ab74d8f8402937b7e8848cd1a0cb2fa9361364b	525000	550000	812100022
22	P12_1M_0023	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0023/phase11c_S0_P12_1M_0023_seed412100023.lhe	171ffba8ddd1fa0848edd6d9215978c8e2367f7c02c6d544ff69ec3e9c43cfb5	550000	575000	812100023
23	P12_1M_0024	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0024/phase11c_S0_P12_1M_0024_seed412100024.lhe	f0d87b9cb5cd98932d6d24fad17164264fcb97b3eecda9f02b37e03118527cf2	575000	600000	812100024
